   Step          Temp          E_pair         E_mol          TotEng         Press          Volume    
         0   1200          -3036.4265      0             -2881.4695      177613.62      11871.905    
      2000   912.84887     -2340.131       0             -2222.254       1412.2714      15970.052    
      4000   990.34604     -2336.0162      0             -2208.132       2680.9747      15983.303    
      6000   1033.7381     -2319.8805      0             -2186.393      -3591.0222      16197.648    
      8000   995.97341     -2325.0299      0             -2196.419       2409.0854      16048.312    
     10000   989.54879     -2329.4036      0             -2201.6222     -3384.7542      16134.157    
     12000   974.73148     -2329.8305      0             -2203.9626     -834.32508      16084.06     
     14000   987.76297     -2324.7196      0             -2197.1689      2370.2205      16046.655    
     16000   1020.2329     -2328.08        0             -2196.3364     -1543.0333      16114.605    
     18000   990.58496     -2329.5547      0             -2201.6396      1923.4925      16027.098    
     20000   1001.9602     -2329.6056      0             -2200.2216     -2863.854       16131.214    
     22000   999.14295     -2331.1809      0             -2202.1607      2551.776       16011.598    
     24000   1054.3116     -2327.2893      0             -2191.1451      48.119887      16088.795    
     26000   1048.4517     -2323.7543      0             -2188.3668     -1096.166       16129.915    
     28000   1002.268      -2324.6824      0             -2195.2586     -1607.4112      16125.713    
     30000   964.26422     -2327.3457      0             -2202.8294     -531.19896      16088.078    
     32000   1026.8345     -2333.1405      0             -2200.5444      3362.7098      15989.189    
     34000   1016.5929     -2327.4771      0             -2196.2035      1373.9776      16047.338    
     36000   1048.8988     -2322.3038      0             -2186.8586     -4512.6628      16206.709    
     38000   987.3757      -2324.9251      0             -2197.4244     -1236.4757      16118.409    
     40000   977.09608     -2326.1552      0             -2199.9819     -848.62607      16103.066    
     42000   1005.7767     -2323.9823      0             -2194.1055      390.95323      16095.023    
     44000   1029.9077     -2325.6085      0             -2192.6156      2263.4342      16047.85     
     46000   1019.962      -2326.8717      0             -2195.1631     -926.0449       16104.814    
     48000   1064.5516     -2321.4906      0             -2184.0241     -2640.3564      16173.679    
     50000   1006.8669     -2329.4068      0             -2199.3892     -1044.1919      16094.812    
     52000   1013.7556     -2327.1862      0             -2196.2791      780.94799      16065.029    
     54000   1025.1535     -2325.018       0             -2192.6391     -1660.3044      16127.577    
     56000   1026.924      -2319.5873      0             -2186.9797     -913.1176       16142.562    
     58000   1004.9936     -2325.4907      0             -2195.7149     -769.30314      16106.182    
     60000   1066.2989     -2327.8085      0             -2190.1164      3905.3944      16011.111    
     62000   1062.1489     -2314.8754      0             -2177.7192      2284.4602      16114.874    
     64000   1031.1356     -2322.36        0             -2189.2085      882.42919      16094.854    
     66000   1001.0239     -2313.1793      0             -2183.9162     -6660.2672      16297.423    
     68000   1012.7472     -2329.764       0             -2198.987       578.15352      16060.991    
     70000   1044.0107     -2320.5039      0             -2185.6899     -4029.649       16203.647    
     72000   1049.4124     -2317.8545      0             -2182.3429      1456.7398      16109.318    
     74000   1020.1657     -2327.0092      0             -2195.2743      4749.7084      15992.569    
     76000   1001.4487     -2323.9649      0             -2194.6469      597.81999      16092.098    
     78000   1078.9176     -2321.5833      0             -2182.2617     -4685.6285      16220.963    
     80000   1087.8692     -2321.1996      0             -2180.7221     -4068.3608      16218.684    
     82000   1024.3315     -2329.6448      0             -2197.372       1765.0198      16034.878    
     84000   1056.2563     -2324.7481      0             -2188.3528     -642.14303      16115.625    
     86000   1065.9586     -2325.8175      0             -2188.1693      2289.925       16055.134    
     88000   1077.6036     -2330.3706      0             -2191.2187      1211.7673      16053.666    
     90000   1022.5627     -2320.6908      0             -2188.6464     -1910.5735      16157.958    
     92000   1050.0021     -2319.3191      0             -2183.7314     -3525.7596      16203.579    
     94000   1047.0905     -2319.9571      0             -2184.7454     -1102.0336      16148.359    
     96000   1064.8476     -2323.6688      0             -2186.1641      1052.1339      16092.402    
     98000   1072.8645     -2331.614       0             -2193.074       2890.2831      16013.48     
    100000   1039.4499     -2320.4576      0             -2186.2325     -2670.5183      16174.921    
    102000   1062.7174     -2314.5274      0             -2177.2978     -3581.8362      16229.235    
    104000   1069.8463     -2320.806       0             -2182.6558     -2082.6112      16163.397    
    106000   1054.1137     -2319.0301      0             -2182.9115      1615.0213      16102.264    
    108000   1063.1672     -2317.5712      0             -2180.2835      960.4649       16129.244    
    110000   1038.3547     -2318.1327      0             -2184.0491     -2447.6844      16183.636    
    112000   1058.6569     -2320.9629      0             -2184.2576     -1095.8987      16146.547    
    114000   1080.9792     -2326.361       0             -2186.7732      7501.9948      15952.735    
    116000   1018.9904     -2320.1826      0             -2188.5994      2592.4794      16071.832    
    118000   1044.831      -2319.204       0             -2184.2841     -3874.3854      16212.378    
    120000   992.7005      -2319.9127      0             -2191.7244      93.274054      16115.272    
    122000   1084.8746     -2318.245       0             -2178.1541      176.5137       16140.927    
    124000   1075.8343     -2316.8171      0             -2177.8937     -955.70576      16175.037    
    126000   1036.2636     -2318.7526      0             -2184.939      -1093.3796      16159.373    
    128000   1047.2271     -2309.4342      0             -2174.2049     -2611.7755      16238.026    
    130000   1101.7568     -2314.7348      0             -2172.464      -2458.2737      16210.273    
    132000   1051.9566     -2316.8455      0             -2181.0054     -5826.8077      16269.117    
    134000   1112.8369     -2313.1124      0             -2169.4108     -4481.4365      16266.908    
    136000   1096.3941     -2321.9716      0             -2180.3933     -712.87806      16145.482    
    138000   1074.3157     -2321.0089      0             -2182.2816      1080.3095      16105.284    
    140000   1048.1522     -2322.2058      0             -2186.857       1934.4517      16076.593    
    142000   1027.4502     -2317.8863      0             -2185.2107      1617.9778      16102.023    
    144000   1102.9891     -2318.3914      0             -2175.9615      4286.7061      16058.328    
    146000   1099.7699     -2318.4767      0             -2176.4624      1594.2696      16108.644    
    148000   1031.217      -2320.7246      0             -2187.5627      217.39627      16121.447    
    150000   1031.7376     -2312.5741      0             -2179.3449     -6067.5205      16289.094    
    152000   1112.2432     -2314.2361      0             -2170.6111     -2694.0476      16226.655    
    154000   1053.5428     -2315.6329      0             -2179.588       195.38088      16158.232    
    156000   1065.6306     -2319.2796      0             -2181.6738      3384.2761      16066.113    
    158000   1070.6966     -2323.3904      0             -2185.1304      1826.5428      16077.525    
    160000   1087.1085     -2316.9908      0             -2176.6115     -123.17991      16155.731    
    162000   1081.8681     -2309.8684      0             -2170.1658     -2738.1824      16243.969    
    164000   1074.213      -2312.5826      0             -2173.8685      584.24778      16163.913    
    166000   1058.3196     -2317.8055      0             -2181.1438     -53.606351      16147.085    
    168000   1074.7881     -2316.0412      0             -2177.2528      2875.7249      16097.23     
